epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,15.6212,1.63263,3.09673,1.24674,0.02105,0.53333,0.51117,0.34483,1.46034,3.6236,1.09883,6.71788e-05,6.71788e-05,6.71788e-05
40,15.9622,1.86104,3.03653,1.20635,0.02443,0.73333,0.51759,0.34548,1.45028,3.64922,1.09507,6.34332e-05,6.34332e-05,6.34332e-05
41,18.6917,1.74343,2.93948,1.28127,0.02443,0.73333,0.51759,0.34548,1.45028,3.64922,1.09507,5.94048e-05,5.94048e-05,5.94048e-05
42,19.1672,1.62056,3.0176,1.24061,0.02441,0.73333,0.5178,0.34815,1.39846,3.59552,1.05896,5.50937e-05,5.50937e-05,5.50937e-05
43,19.521,1.59804,2.96996,1.21515,0.02441,0.73333,0.5178,0.34815,1.39846,3.59552,1.05896,5.04998e-05,5.04998e-05,5.04998e-05
44,19.8795,1.65825,2.87358,1.19961,0.02427,0.73333,0.51803,0.32837,1.38397,3.57206,1.05472,4.56232e-05,4.56232e-05,4.56232e-05
45,20.2061,1.6384,2.85896,1.20448,0.02427,0.73333,0.51803,0.32837,1.38397,3.57206,1.05472,4.04638e-05,4.04638e-05,4.04638e-05
46,20.5593,1.62268,3.07192,1.23861,0.02392,0.73333,0.51946,0.34207,1.39195,3.56646,1.05409,3.50217e-05,3.50217e-05,3.50217e-05
47,20.997,1.6263,2.88384,1.27554,0.02392,0.73333,0.51946,0.34207,1.39195,3.56646,1.05409,2.92968e-05,2.92968e-05,2.92968e-05
48,21.3278,1.64777,2.86614,1.2674,0.02392,0.73333,0.51946,0.34207,1.39195,3.56646,1.05409,2.32893e-05,2.32893e-05,2.32893e-05
49,21.6603,1.62592,2.86822,1.20302,0.02449,0.73333,0.52119,0.34195,1.39784,3.56877,1.0592,1.69989e-05,1.69989e-05,1.69989e-05
50,21.9766,1.70967,2.82019,1.21751,0.02449,0.73333,0.52119,0.34195,1.39784,3.56877,1.0592,1.04258e-05,1.04258e-05,1.04258e-05
